Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
241,0.528503607,27.73333333,514.6666667,10.02597403,0.38961039,28,0.525940337,0.134602104,0.108051948,48
242,0.543663352,65.06666667,2957.866667,57.02827763,1.023136247,72.83333333,0.466666667,0.387990154,0.250899743,238
243,0.52045147,127.8666667,11686.26667,311.911032,2.583629893,71,0.4013267,0.468147403,0.682562278,383
244,0.518402096,22.33333333,365.3666667,7.735356387,0.342978123,38.83333333,0.540156361,0.247899363,0.094565984,128
245,0.39590309,42.66666667,1757.866667,212.6451613,3.951612903,30.83333333,4.292929293,1.203080128,1.032258065,302
246,0.411143032,73.13333333,4271.766667,239.5383178,3.312149533,71,0.805774278,1.015467762,0.820186916,342
247,0.524161496,117.5333333,11276.16667,284.5121951,2.39529016,59.16666667,0.290436006,0.435816871,0.593103448,379
248,0.522176026,111.4,10463.76667,265.353339,2.103127642,57.5,0.287946429,0.422059599,0.565004227,374
249,0.510493588,115,9742.966667,273.9353327,2.378631678,61.5,0.356962025,0.471061035,0.646672915,377
251,0.554743132,113.0666667,13600,289.3617021,1.991489362,61.66666667,0.307320024,0.384525377,0.481134752,361
252,0.498261879,62.26666667,2618.8,66.46700508,1.218274112,58.16666667,0.516129032,0.421538042,0.31607445,220
253,0.499499406,93.26666667,7372.566667,224.5451777,2.270050761,48.16666667,0.320578231,0.462031561,0.568121827,368
254,0.495109076,89.8,6711.5,214.4249201,2.063897764,52.33333333,0.379710145,0.47384499,0.573801917,365
255,0.513057767,117.9333333,10290.7,293.1823362,2.256410256,56.83333333,0.415946206,0.487109136,0.671984805,396
256,0.486606376,97.26666667,6954.7,244.0245614,2.750877193,54.33333333,0.470930233,0.524373283,0.682573099,372
257,0.491451243,91.06666667,6541.466667,219.0223214,2.303571429,51.33333333,0.411177645,0.484395572,0.609821429,363
258,0.478159299,101.2666667,7256.7,350.5652174,3.961352657,73.66666667,1.383141762,0.990949368,0.9784219,574
259,0.486461422,111.7333333,8955.6,317.5744681,2.709219858,53.66666667,0.614035088,0.514117819,0.792434988,368
261,0.457250469,80.8,4349.466667,159.5158924,2.273838631,72.66666667,0.428380187,0.656687487,0.592665037,269
262,0.494273235,65.13333333,2882.566667,75.92361721,1.322212467,64.16666667,0.410994764,0.431608851,0.343107989,210
263,0.439766169,60.6,2607.366667,112.2252511,2.129124821,40.16666667,0.425170068,0.442659439,0.521664275,168
264,0.496941862,67.53333333,3148.166667,79.56613311,1.379949452,62.5,0.523679417,0.389450762,0.341364785,184
265,0.521520757,33.73333333,870.6666667,18.0137931,0.466206897,54.66666667,0.518064076,0.292595909,0.139586207,156
266,0.499193982,55.53333333,2092.966667,52.54309623,1.039330544,52.66666667,0.373963516,0.368717781,0.278828452,192
267,0.556490353,39.4,1024.3,18.12920354,0.569911504,58,0.673144876,0.31150219,0.139469027,187
268,0.451643628,64.8,3027.2,159.3263158,2.631578947,42.83333333,1.111627907,0.623004663,0.682105263,321
269,0.540820038,36.6,1067.9,19.96074766,0.575700935,50,0.555752212,0.265048809,0.13682243,123
270,0.490807425,81.2,5117.066667,144.2781955,1.691729323,71.16666667,0.615303983,0.571503538,0.457894737,318
272,0.442365668,62.2,3370.566667,152.0556391,2.351879699,60,0.486434109,0.714448735,0.561203008,278
273,0.467561829,55.93333333,3116.566667,105.8856172,1.506228766,54.5,0.453333333,0.583203772,0.38006795,282
274,0.517630043,105.3333333,9851.066667,280.3908918,1.988614801,50.33333333,0.314465409,0.47877286,0.599620493,411
275,0.453818785,59.2,2777.066667,109.0471204,1.717277487,61.66666667,0.301449275,0.636863167,0.464921466,246
276,0.365162273,25.8,610.9666667,128.1748252,4.041958042,23.33333333,9.638095238,1.248834363,1.082517483,300
277,0.524798308,64.66666667,2806.4,58.46666667,1.125,66.16666667,0.560574949,0.372152901,0.269444444,204
278,0.526092724,105.9333333,10598.3,260.4004914,1.99017199,57.16666667,0.26286117,0.414919912,0.520556921,372
279,0.513479379,33.26666667,812.5666667,18.12416357,0.550185874,41.66666667,0.58141321,0.312412783,0.148401487,167
280,0.482521372,108.7333333,8440.966667,309.9498164,2.736842105,53.16666667,0.679180887,0.517620524,0.798531212,377
281,0.507208399,30.33333333,669.3666667,15.27072243,0.587072243,44.33333333,0.404239766,0.223801648,0.138403042,103
282,0.383869618,63.8,3957.366667,318.2868633,4.396782842,37.66666667,2.289617486,1.00818549,1.026273458,311
283,0.503350693,39,1032.3,24.17564403,0.637002342,34.83333333,0.352245863,0.20967273,0.182669789,89
285,0.541636555,55.06666667,2272,42.70676692,0.84962406,51.83333333,0.570422535,0.272596719,0.207017544,114
286,0.479586052,102.7333333,7137.366667,267.9862328,3.071339174,59.83333333,0.627240143,0.527876891,0.77146433,373
288,0.497743492,85.8,6522.566667,206.6282999,2.023231257,48.16666667,0.357077626,0.473271992,0.543611404,367
289,0.390623638,64.13333333,3249.6,238.9411765,3.676470588,42.66666667,1.468013468,0.72361642,0.943137255,254
290,0.438390588,57.93333333,2624.166667,119.461305,1.990895296,54.66666667,0.403508772,0.601921254,0.527465857,231
291,0.447378536,66.93333333,3060,126.446281,2.099173554,56.66666667,0.358757062,0.554704932,0.553168044,227
292,0.481933087,47.66666667,1566.7,45.14985591,1.083573487,39.66666667,0.278443114,0.309508834,0.274735831,143
293,0.441188235,59.66666667,2507.9,108.5670996,1.896103896,50.83333333,0.337962963,0.536992392,0.516594517,206
295,0.523429411,71.6,3967.466667,88.03550296,1.414201183,86,0.830349531,0.468650166,0.317751479,237
296,0.567517723,107.6,14522.26667,295.568521,1.991858887,56,0.317185698,0.375644695,0.437991859,357
297,0.536562615,44.33333333,1350.966667,25.8971246,0.679872204,41.33333333,0.463203463,0.212217546,0.169968051,59
298,0.541835986,36.73333333,898.9666667,16.76134245,0.495960224,57.16666667,0.581148564,0.219267647,0.13697949,59
299,0.509681167,67.06666667,3017.066667,67.74850299,1.203592814,45.16666667,0.439060206,0.259294445,0.301197605,91
301,0.556941163,23.93333333,393.1,6.908611599,0.362038664,47,0.654867257,0.202362661,0.084124194,57
302,0.563144513,21.66666667,314.7,5.397941681,0.312178388,44.16666667,0.64137931,0.182640692,0.074328188,43
303,0.5743711,15.8,162.9666667,2.714602998,0.209883398,38.83333333,0.582222222,0.155386866,0.052637424,25
304,0.476984707,97.66666667,6715.766667,249.039555,2.885043263,53.16666667,0.586805556,0.487461604,0.724351051,341
305,0.496097903,64.86666667,2814.166667,70.41284404,1.376146789,54.66666667,0.444160273,0.292704744,0.324603837,114
306,0.500735303,52.4,1873.066667,45.17041801,0.935691318,39,0.365815932,0.239738591,0.252733119,92
307,0.504731608,55.06666667,2011.066667,47.58044164,1.059936909,51,0.397745572,0.276574487,0.260567823,105
308,0.371901261,68,3893.866667,343.5764706,5.105882353,43.83333333,2.729559748,0.969754544,1.2,296
309,0.454339928,94.33333333,6843.366667,249.454435,3.287970838,87.33333333,0.565162907,0.639046607,0.687727825,244
310,0.480018998,81,4743.9,135.1538462,1.948717949,51.5,0.307692308,0.39128265,0.461538462,146
311,0.401787902,60.93333333,2996.8,194.5974026,3.038961039,46.33333333,1.031339031,0.672530015,0.791341991,240
312,0.440544505,61.53333333,2487.366667,105.5459689,2.028288543,45.33333333,0.358858859,0.422220129,0.522206506,168
313,0.424732802,60,2525.866667,123.4136808,2.149837134,47.66666667,0.42364532,0.518744343,0.586319218,176
314,0.377236941,31.26666667,652.3,106.9344262,3.836065574,20.5,5.983050847,0.95359497,1.025136612,298
315,0.483442257,73.8,4772.3,177.4089219,2.022304833,45.66666667,0.543333333,0.506104396,0.548698885,352
316,0.537479999,101.3333333,11729.46667,266.983308,1.990895296,51.5,0.231884058,0.394371536,0.461305008,360
317,0.519052673,35.13333333,873.5,18.38947368,0.597894737,44.66666667,0.540838852,0.288911522,0.147929825,156
318,0.524822492,66.2,3176.3,66.58909853,1.094339623,63.83333333,0.43902439,0.321052982,0.277568134,147
